date,orig_nav,pmcc_nav
2024-11-11,136929.2802396831,44028.802070904705
2024-11-12,137033.12322139269,44061.59459144456
2024-11-13,137117.92969481237,44088.37558305078
2024-11-14,137065.80624443744,44071.91554609028
2024-11-15,135887.46614276338,43699.80814556163
2024-11-18,137111.7783617688,44086.4330568265
2024-11-19,137287.713049873,44135.271539141984
2024-11-20,137441.22224276446,44179.13130853955
2024-11-21,137388.72224276446,44164.13130853955
2024-11-22,137388.72224276446,44164.13130853955
2024-11-25,137388.72224276446,44164.13130853955
2024-11-26,137596.6340066175,44226.50483769547
2024-11-27,137546.4285663329,44211.443205610085
2024-11-29,137909.23323551897,44320.28460636591
2024-12-02,137859.23323551897,44305.28460636591
2024-12-03,138003.3709857132,44350.801790637764
2024-12-04,138235.731735441,44424.17886949917
2024-12-05,138188.231735441,44409.17886949917
2024-12-06,138188.231735441,44409.17886949917
2024-12-09,136558.76930972905,43322.89428226347
2024-12-10,135482.43418789885,43124.75070646476
2024-12-11,140340.49583304717,44062.12480853042
2024-12-12,138492.11650689933,43720.83399997296
2024-12-13,140610.9060067352,44103.037361033894
2024-12-16,145034.61590607595,44832.85369365945
2024-12-17,143888.4853993445,44583.19325307245
2024-12-18,136072.9696582534,42479.134406523204
2024-12-19,137201.97065965494,41963.93774409761
2024-12-20,135844.17800555483,41836.06569841661
2024-12-23,137091.5618490219,42127.12739836608
2024-12-24,140010.68978217032,42752.604246130155
2024-12-26,139749.98356462334,42700.57781686848
2024-12-27,136377.92938442703,42078.12187656143
2024-12-30,133398.56936554625,41522.42351969119
2024-12-31,129099.19836102503,41099.931925869496
2025-01-02,129062.58562211556,41121.87044454241
2025-01-03,130879.57170839976,41409.605290988526
2025-01-06,133477.7144230665,41889.84805690373
2025-01-07,129920.84785548803,41280.41387106239
2025-01-08,129877.42692418677,41286.432996314834
2025-01-10,128269.35992867114,41102.9128391938
2025-01-13,127069.8138097324,40900.62924260813
2025-01-14,126007.46338803868,40656.71952828106
2025-01-15,128433.25797736042,41073.530543557536
2025-01-16,126938.51130273365,40803.062961655894
2025-01-17,130727.79032985246,41506.60099295187
2025-01-21,131545.90755739564,41673.718544095354
2025-01-22,135561.4580585815,42341.17303232308
2025-01-23,136193.20490701759,42445.53483274885
2025-01-24,134089.35316291786,42115.3002141316
2025-01-27,126334.43363618157,40846.1546858081
2025-01-28,129553.94325149251,41446.13217613324
2025-01-29,128876.33280996732,41334.13226087216
2025-01-30,129755.91754737492,41492.98639417104
2025-01-31,129280.57203274615,41425.7563911431
2025-02-03,129232.69760613645,41133.44402434012
2025-02-04,128552.36784695434,41430.78879943016
2025-02-05,127966.4760004708,41416.8278565165
2025-02-06,127875.28005226889,41662.872761138686
2025-02-07,128200.22755259056,41116.0344816676
2025-02-10,127861.12303465855,41588.07690012139
2025-02-11,127916.97050146657,41482.85858746611
2025-02-12,127990.48873029699,41527.74708765958
2025-02-13,128089.29171423662,42343.98821341745
2025-02-14,128008.90410804287,42571.9371076011
2025-02-18,127990.90410804287,42682.07148780307
2025-02-19,127990.90410804287,42683.9766249081
2025-02-20,127990.90410804287,42427.22345503401
2025-02-21,127990.90410804287,41246.39587564458
2025-02-24,127990.90410804287,40602.306563249935
2025-02-25,127924.15422951059,39957.21529572532
2025-02-26,128044.95105463016,40077.28808538377
2025-02-27,127225.85153227551,38693.24047305412
2025-02-28,127200.85153227551,38670.74047305412
2025-03-03,127200.85153227551,38670.74047305412
2025-03-04,127678.86285239607,38807.72608950853
2025-03-05,126861.71968793464,38566.923823885
2025-03-06,128514.5752196138,39040.23969007905
2025-03-07,132528.67194818397,40043.26387222159
2025-03-10,132528.67194818397,40043.26387222159
2025-03-11,132630.4120147123,40072.48153884757
2025-03-12,132317.41056512733,39980.42228896964
2025-03-13,132807.22098993202,40124.48417861808
2025-03-14,134261.45086012332,40697.974664846224
2025-03-17,134260.45086012332,40696.974664846224
2025-03-18,134260.45086012332,40696.974664846224
