date,net_liq,cash,tqqq_shares,open_puts,open_calls,tqqq_price,vix,above_sma200,total_return_pct
2023-12-01,52786.27,52786.27,0,0,0,21.54,12.6,1,111.15
2023-12-04,10870.34,10952.24,0,1,0,20.93,13.1,1,-56.52
2023-12-05,52846.5,52846.5,0,0,0,21.08,12.9,1,111.39
2023-12-06,52846.5,52846.5,0,0,0,20.7,13.0,1,111.39
2023-12-07,52846.5,52846.5,0,0,0,21.57,13.1,1,111.39
2023-12-08,52846.5,52846.5,0,0,0,21.83,12.4,1,111.39
2023-12-11,12091.61,12133.83,0,1,0,22.38,12.6,1,-51.63
2023-12-12,52881.78,52881.78,0,0,0,22.92,12.1,1,111.53
2023-12-13,52881.78,52881.78,0,0,0,23.73,12.2,1,111.53
2023-12-14,52881.78,52881.78,0,0,0,23.69,12.5,1,111.53
2023-12-15,52881.78,52881.78,0,0,0,23.97,12.3,1,111.53
2023-12-18,12773.09,12800.16,0,1,0,24.48,12.6,1,-48.91
2023-12-19,52891.55,52891.55,0,0,0,24.84,12.5,1,111.57
2023-12-20,52891.55,52891.55,0,0,0,23.74,13.7,1,111.57
2023-12-21,52891.55,52891.55,0,0,0,24.52,13.6,1,111.57
2023-12-22,52891.55,52891.55,0,0,0,24.62,13.0,1,111.57
2023-12-26,52891.55,52891.55,0,0,0,25.07,13.0,1,111.57
2023-12-27,52891.55,52891.55,0,0,0,25.2,12.4,1,111.57
2023-12-28,52891.55,52891.55,0,0,0,25.14,12.5,1,111.57
2023-12-29,52891.55,52891.55,0,0,0,24.79,12.4,1,111.57
2024-01-02,52891.55,52891.55,0,0,0,23.54,13.2,1,111.57
2024-01-03,52891.55,52891.55,0,0,0,22.78,14.0,1,111.57
2024-01-04,52891.55,52891.55,0,0,0,22.4,14.1,1,111.57
2024-01-05,52891.55,52891.55,0,0,0,22.48,13.4,1,111.57
2024-01-08,11654.02,11779.05,0,1,0,23.84,13.1,1,-53.38
2024-01-09,52997.38,52997.38,0,0,0,24.0,12.8,1,111.99
2024-01-10,52997.38,52997.38,0,0,0,24.47,12.7,1,111.99
2024-01-11,52997.38,52997.38,0,0,0,24.59,12.4,1,111.99
2024-01-12,52997.38,52997.38,0,0,0,24.62,12.7,1,111.99
2024-01-16,52997.38,52997.38,0,0,0,24.6,13.8,1,111.99
2024-01-17,52997.38,52997.38,0,0,0,24.18,14.8,1,111.99
2024-01-18,52997.38,52997.38,0,0,0,25.21,14.1,1,111.99
2024-01-19,52997.38,52997.38,0,0,0,26.67,13.3,1,111.99
2024-01-22,11554.02,11680.86,0,1,0,26.78,13.2,1,-53.78
2024-01-23,53129.21,53129.21,0,0,0,27.1,12.6,1,112.52
2024-01-24,53129.21,53129.21,0,0,0,27.54,13.1,1,112.52
2024-01-25,53129.21,53129.21,0,0,0,27.62,13.4,1,112.52
2024-01-26,53129.21,53129.21,0,0,0,27.11,13.3,1,112.52
2024-01-29,12478.95,12609.2,0,1,0,27.91,13.6,1,-50.08
2024-01-30,12464.57,12609.2,0,1,0,27.35,13.3,1,-50.14
2024-01-31,52670.95,52670.95,0,0,0,25.74,14.4,1,110.68
2024-02-01,52670.95,52670.95,0,0,0,26.65,13.9,1,110.68
2024-02-02,52670.95,52670.95,0,0,0,27.99,13.9,1,110.68
2024-02-05,12106.14,12266.58,0,1,0,27.85,13.7,1,-51.58
2024-02-06,52737.45,52737.45,0,0,0,27.69,13.1,1,110.95
2024-02-07,52737.45,52737.45,0,0,0,28.51,12.8,1,110.95
2024-02-08,52737.45,52737.45,0,0,0,28.63,12.8,1,110.95
2024-02-09,52737.45,52737.45,0,0,0,29.47,12.9,1,110.95
2024-02-12,12965.74,13103.75,0,1,0,29.13,13.9,1,-48.14
2024-02-13,12756.3,13103.75,0,1,0,27.75,15.9,1,-48.97
2024-02-14,52858.42,52858.42,0,0,0,28.63,14.4,1,111.43
2024-02-15,52858.42,52858.42,0,0,0,28.87,14.0,1,111.43
2024-02-16,52858.42,52858.42,0,0,0,28.07,14.2,1,111.43
2024-02-20,52858.42,52858.42,0,0,0,27.42,15.4,1,111.43
2024-02-21,52858.42,52858.42,0,0,0,27.08,15.3,1,111.43
