date,nav,cash,leaps_value,open_positions,qqq_price,vix,regime,hmm_p_bull,total_return_pct
2023-09-19,25047.95,20334.57,5977.12,2,364.91,14.1,BULL_STRONG,1.0,0.19
2023-09-20,25018.62,20331.07,5593.69,2,359.65,15.1,BULL_STRONG,1.0,0.07
2023-09-21,25145.95,20331.07,5491.07,2,353.06,17.5,BEAR,1.0,0.58
2023-09-22,25085.77,20084.19,5386.71,2,353.11,17.2,BEAR,1.0,0.34
2023-09-25,25150.79,20084.19,5456.04,2,354.79,16.9,BEAR,1.0,0.6
2023-09-26,25212.7,20084.19,5431.57,2,349.46,18.9,BEAR,1.0,0.85
2023-09-27,25102.73,20084.19,5305.31,2,350.28,18.2,BEAR,1.0,0.41
2023-09-28,25124.25,20084.19,5361.61,2,353.21,17.3,BEAR,1.0,0.5
2023-09-29,25187.46,20084.19,5426.1,2,353.46,17.5,BEAR,1.0,0.75
2023-10-02,25461.02,19706.79,5754.23,2,356.41,17.6,BEAR,1.0,1.84
2023-10-03,25360.16,19706.79,5653.37,2,350.16,19.8,BEAR,1.0,1.44
2023-10-04,25540.8,19706.79,5834.01,2,354.92,18.6,BEAR,1.0,2.16
2023-10-05,25380.26,19706.79,5673.47,2,353.88,18.5,BEAR,1.0,1.52
2023-10-06,25769.24,20782.41,6067.45,2,359.81,17.5,BULL_STRONG,1.0,3.08
2023-10-09,25929.81,20969.33,6318.73,2,361.64,17.7,BULL_STRONG,1.0,3.72
2023-10-10,25882.98,20962.33,6359.95,2,363.65,17.0,BULL_STRONG,1.0,3.53
2023-10-11,25816.26,20958.83,6423.04,2,366.24,16.1,BULL_STRONG,1.0,3.27
2023-10-12,25887.8,20951.83,6410.14,2,364.97,16.7,BULL_STRONG,1.0,3.55
2023-10-13,26206.03,20194.45,6551.46,2,360.38,19.3,BEAR,1.0,4.82
2023-10-16,26062.99,21191.89,6430.37,2,364.45,17.2,BULL_STRONG,1.0,4.25
2023-10-17,26149.18,21184.89,6453.97,2,363.26,17.9,BULL_STRONG,1.0,4.6
2023-10-18,26214.75,20484.12,6228.89,2,358.5,19.2,BEAR,1.0,4.86
2023-10-19,26429.62,20484.12,6418.61,2,355.14,21.4,BEAR,1.0,5.72
2023-10-20,26050.35,20484.12,5897.6,2,349.84,21.7,BEAR,1.0,4.2
2023-10-23,25811.98,20209.72,5602.26,2,350.9,20.4,BEAR,1.0,3.25
2023-10-24,25798.2,20209.72,5588.49,2,354.31,19.0,BEAR,1.0,3.19
2023-10-25,25185.78,20209.72,4976.06,2,345.64,20.2,BEAR,0.99,0.74
