Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-04-16T15:01:06-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 11 SGOV @ 100.53,"1,105.84",11,100.53,0.00,-0.04,,,,,,,455197088,"1,105.80",USD
2026-04-16T15:01:05-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 29 QLD @ 74.61,"2,163.69",29,74.61,0.00,-0.08,,,,,,,455197082,"2,163.61",USD
2026-04-16T15:01:05-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 29 QLD @ 74.60,"2,163.40",29,74.60,0.00,-0.08,,,,,,,455197081,"2,163.32",USD
2026-04-16T15:01:05-0400,Trade,Sell to Close,SELL_TO_CLOSE,QLD,Equity,Sold 29 QLD @ 74.61,"2,163.69",29,74.61,0.00,-0.08,,,,,,,455197080,"2,163.61",USD
2026-04-16T15:01:05-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 19 QQQ @ 639.52,"12,150.88",19,639.52,0.00,-0.28,,,,,,,455197073,"12,150.60",USD
2026-04-16T15:01:05-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 19 QQQ @ 639.52,"12,150.78",19,639.51,0.00,-0.28,,,,,,,455197071,"12,150.50",USD
2026-04-16T15:01:05-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 19 QQQ @ 639.51,"12,150.69",19,639.51,0.00,-0.28,,,,,,,455197070,"12,150.41",USD
2026-04-16T15:01:05-0400,Trade,Sell to Close,SELL_TO_CLOSE,QQQ,Equity,Sold 19 QQQ @ 639.51,"12,150.69",19,639.51,0.00,-0.28,,,,,,,455197069,"12,150.41",USD
2026-04-16T15:00:29-0400,Trade,Buy to Open,BUY_TO_OPEN,SGOV,Equity,Bought 11.00024 SGOV @ 100.54,"-1,105.91",11.00024,-100.53,0.00,-0.10,,,,,,,455196571,"-1,106.01",USD
2026-04-16T15:00:29-0400,Trade,Buy to Open,BUY_TO_OPEN,QLD,Equity,Bought 28.97667 QLD @ 74.59,"-2,161.37",28.97667,-74.59,0.00,-0.10,,,,,,,455196567,"-2,161.47",USD
2026-04-16T15:00:29-0400,Trade,Buy to Open,BUY_TO_OPEN,QQQ,Equity,Bought 18.94042 QQQ @ 639.40,"-12,110.60",18.94042,-639.40,0.00,-0.10,,,,,,,455196561,"-12,110.70",USD
2026-04-16T09:30:00-0400,Trade,Sell to Close,SELL_TO_CLOSE,TQQQ,Equity,Sold 10 TQQQ @ 56.12,561.20,10,56.12,0.00,-0.03,,,,,,,454867214,561.17,USD
2026-04-15T15:00:17-0400,Trade,Buy to Open,BUY_TO_OPEN,QLD,Equity,Bought 0.99749 QLD @ 73.78,-73.59,0.99749,-73.78,0.00,-0.10,,,,,,,454762706,-73.69,USD
2026-04-15T15:00:17-0400,Trade,Buy to Open,BUY_TO_OPEN,QQQ,Equity,Bought 28.10665 QQQ @ 635.88,"-17,872.46",28.10665,-635.88,0.00,-0.10,,,,,,,454762701,"-17,872.56",USD
2026-04-15T15:00:10-0400,Trade,Buy to Open,BUY_TO_OPEN,TQQQ,Equity,Bought 10 TQQQ @ 55.26,-552.55,10,-55.25,0.00,-0.10,,,,,,,454762588,-552.65,USD
2026-04-15T15:00:10-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 1 SGOV @ 100.52,100.52,1,100.52,0.00,-0.01,,,,,,,454762580,100.51,USD
2026-04-15T15:00:09-0400,Trade,Sell to Close,SELL_TO_CLOSE,QLD,Equity,Sold 1 QLD @ 73.75,73.75,1,73.75,0.00,-0.01,,,,,,,454762576,73.74,USD
2026-04-15T15:00:09-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 1 QQQ @ 635.75,635.75,1,635.75,0.00,-0.02,,,,,,,454762571,635.73,USD
2026-04-15T14:31:49-0400,Trade,Buy to Open,BUY_TO_OPEN,QLD,Equity,Bought 17.50204 QLD @ 73.52,"-1,286.75",17.50204,-73.52,0.00,-0.10,,,,,,,454738850,"-1,286.85",USD
2026-04-15T14:31:49-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 27 QQQ @ 634.74,"17,138.04",27,634.74,0.00,-0.39,,,,,,,454738844,"17,137.65",USD
2026-04-15T14:31:49-0400,Trade,Sell to Close,SELL_TO_CLOSE,QQQ,Equity,Sold 27 QQQ @ 634.74,"17,138.04",27,634.74,0.00,-0.39,,,,,,,454738843,"17,137.65",USD
2026-04-15T14:31:47-0400,Trade,Buy to Open,BUY_TO_OPEN,SGOV,Equity,Bought 7.9988 SGOV @ 100.52,-804.08,7.9988,-100.52,0.00,-0.10,,,,,,,454738811,-804.18,USD
2026-04-15T14:31:47-0400,Trade,Buy to Open,BUY_TO_OPEN,SGOV,Equity,Bought 7.9988 SGOV @ 100.52,-804.08,7.9988,-100.52,0.00,-0.10,,,,,,,454738807,-804.18,USD
2026-04-15T14:31:46-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 2 QLD @ 73.50,147.00,2,73.50,0.00,-0.01,,,,,,,454738806,146.99,USD
2026-04-15T14:31:46-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 2 QLD @ 73.50,147.01,2,73.50,0.00,-0.01,,,,,,,454738803,147.00,USD
2026-04-15T14:31:46-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 2 QLD @ 73.50,147.01,2,73.50,0.00,-0.01,,,,,,,454738801,147.00,USD
2026-04-15T14:31:46-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 2 QLD @ 73.50,147.01,2,73.50,0.00,-0.01,,,,,,,454738797,147.00,USD
2026-04-15T14:31:46-0400,Trade,Buy to Open,BUY_TO_OPEN,SGOV,Equity,Bought 0.9998 SGOV @ 100.53,-100.51,0.9998,-100.53,0.00,-0.10,,,,,,,454738792,-100.61,USD
