Symbol,Strategy,Direction,Exit,Entry Date,Exit Date,Days Held,Entry $,Exit $,PnL $,PnL %
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-02-04,2019-02-13,9,442.69,423.17,-19.51,-2.4
GOOGL,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-02-07,2019-02-19,12,1217.33,1190.2,-27.14,-2.2
AMD,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-02-06,2019-02-21,15,364.94,320.33,44.6,5.4
AMD,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-02-07,2019-02-22,15,355.59,324.22,31.37,4.3
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-02-13,2019-02-22,9,430.61,449.52,18.91,2.9
SOXL,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 17 days >= 15,2019-02-08,2019-02-25,17,263.6,224.57,39.03,7.3
AVGO,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-02-22,2019-02-27,5,480.38,471.91,-8.46,-1.4
AVGO,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-02-27,2019-03-04,5,472.83,477.38,4.55,0.7
META,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-02-19,2019-03-06,15,256.18,90.49,165.69,25.7
NOW,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-02-20,2019-03-07,15,152.56,51.41,101.15,19.0
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-02-26,2019-03-07,9,448.24,422.72,-25.53,-3.9
AMD,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-02-21,2019-03-08,15,231.07,88.49,142.58,25.6
CIEN,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-02-27,2019-03-08,9,961.89,867.81,-94.08,-9.8
TSLA,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 7 days >= 5,2019-03-04,2019-03-11,7,473.54,482.68,9.14,1.4
MRVL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-03-07,2019-03-12,5,808.8,828.5,19.7,1.7
AVGO,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-03-08,2019-03-13,5,456.13,466.56,10.43,1.2
CIEN,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-03-06,2019-03-15,9,904.95,880.59,-24.36,-2.7
AMD,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-03-14,2019-03-19,5,516.4,677.2,160.8,19.1
MRVL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-03-14,2019-03-19,5,407.18,426.34,19.17,2.5
GOOGL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-03-15,2019-03-20,5,1222.0,1258.79,36.78,3.0
SHOP,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 6 days >= 5,2019-03-19,2019-03-25,6,889.7,888.66,-1.04,-0.1
TSLA,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 6 days >= 5,2019-03-19,2019-03-25,6,459.67,444.57,-15.1,-2.4
SHOP,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-03-20,2019-03-25,5,441.79,444.64,2.85,0.4
CIEN,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-03-13,2019-03-28,15,324.13,201.46,122.66,12.6
CIEN,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-03-20,2019-03-29,9,857.05,825.07,-31.97,-3.7
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 17 days >= 15,2019-03-15,2019-04-01,17,169.07,93.15,75.92,13.1
SOXL,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-03-25,2019-04-03,9,811.12,957.99,146.86,13.9
AMD,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-03-25,2019-04-03,9,759.87,833.71,73.83,9.7
AMD,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-03-26,2019-04-04,9,749.64,831.49,81.85,10.9
GDX,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-03-29,2019-04-08,10,448.79,441.89,-6.9,-0.9
NOW,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-04-04,2019-04-09,5,1027.46,1022.97,-4.49,-0.4
